id,ehr_vendor_id,address,endpoint_connection_type_id,name,description,environment_type_id
61386354-2ec5-51af-a508-29dc35a3b0eb,,https://fhir-service.medicscloud.com/fhir/da/adsc_RcOxWuumnYN9VTa,hl7-fhir-rest,"RX- Richard Wells, MD, PC",,production
2261170c-658e-5ec3-b688-2174b918e4f8,,https://fhir-service.medicscloud.com/fhir/da/adsc_z8F5Z735Zoznw1h,hl7-fhir-rest,"JIMMIE WILBUR, MD",,production
ce9bb196-9eda-520c-8bdf-ba798547bc25,,https://fhir-service.medicscloud.com/fhir/da/adsc_cOJNPwWfIFzY2IF,hl7-fhir-rest,"ERIC DAWSON, MD",,production
9f5cda97-1ea7-5467-ace7-1c70406cf3a6,,https://fhir-service.medicscloud.com/fhir/da/adsc_k962IQF4OqXSwYh,hl7-fhir-rest,RX- Retinal Associates,,production
1311c01c-6e20-567c-8a5b-1b7fec19290c,,https://fhir-service.medicscloud.com/fhir/da/adsc_PgARf2k7lI6jkxB,hl7-fhir-rest,"KISHORE RAMCHANDANI, MD",,production
1ccead28-d0e3-58cd-8319-1a2824ec6e7b,,https://fhir-service.medicscloud.com/fhir/da/adsc_IEPqpQpfhhioDTa,hl7-fhir-rest,Pulmonary Associates of Northern NJ,,production
c377c706-d13b-592b-abf4-40d49414168b,,https://fhir-service.medicscloud.com/fhir/da/adsc_7MsY6UaobIAA519,hl7-fhir-rest,Beacon Christian Community Health,,production
54163831-d529-5f0d-99c3-e6a563f0afac,,https://fhir-service.medicscloud.com/fhir/da/adsc_WoeR3BtDieRJbfA,hl7-fhir-rest,"VEERENDRA V. DURGAM, MD",,production
d7fba651-5ca4-5289-b060-72c87a12aa40,,https://fhir-service.medicscloud.com/fhir/da/adsc_HnatpLnVGBisx21,hl7-fhir-rest,HUDSON PHYSICIANS ASSOC,,production
f9748ea7-5a91-5477-9643-fcccee044c98,,https://fhir-service.medicscloud.com/fhir/da/adsc_dxfkkEpAHmbbLF5,hl7-fhir-rest,"VIRGINIA NEUROSURGEONS, P.C",,production
96ed6c69-dbc9-5b45-84d9-93cc4fa33ed9,,https://fhir-service.medicscloud.com/fhir/da/adsc_96CyJx4elhgs6lx,hl7-fhir-rest,RENEE LEFLAND & PETER DEPLAS MD???S,,production
b675dd43-e4c6-5c66-ba9a-0e2883dad79d,,https://fhir-service.medicscloud.com/fhir/da/adsc_jbmHRYyEZgsTwjE,hl7-fhir-rest,DR. GERARD FAUGNO,,production
f1c96aa7-f09f-503c-a5ae-af8e3bf7ecbe,,https://fhir-service.medicscloud.com/fhir/da/adsc_7D7VyQtHARCLRO2,hl7-fhir-rest,"RIS - PRICE, HOFFMAN, STONE & ASSOCIATES, MD???S",,production
dd3dc9d6-afa8-5853-bd92-45102ef1599f,,https://fhir-service.medicscloud.com/fhir/da/adsc_JxlyUfCmZej5rzu,hl7-fhir-rest,"RALPH GUARNERI, MD",,production
fa8f6e50-21a5-5f96-8740-0784d86d379a,,https://fhir-service.medicscloud.com/fhir/da/adsc_IXEBe9DDe3nHJ6j,hl7-fhir-rest,RIS - Houston Medical Imaing,,production
d1c83b29-a80a-50ac-9467-f7fca7cf0385,,https://fhir-service.medicscloud.com/fhir/da/adsc_wi0MzZtJDIsLGnx,hl7-fhir-rest,"Ashish Shah, MD",,production
709d022d-0a7f-55ce-b2dc-422c74ec719e,,https://fhir-service.medicscloud.com/fhir/da/adsc_rCCwFewN1FUM2iz,hl7-fhir-rest,HELEN ROUVELAS MD,,production
0c9f6088-c669-55b5-9c5a-1f01a52683c2,,https://fhir-service.medicscloud.com/fhir/da/adsc_hyWAL8k7gxbUrDM,hl7-fhir-rest,NEW JERSEY CENTER FOR PAIN MANAGEMENT,,production
e273b4cc-c91e-569b-9c37-fa8f62daf7d1,,https://fhir-service.medicscloud.com/fhir/da/adsc_7lFqstfeNu3R2h0,hl7-fhir-rest,RX- Fox Chase Pain Management,,production
0ccc21b1-58aa-5054-a79d-01a2ee2fdd5d,,https://fhir-service.medicscloud.com/fhir/da/adsc_UTYYSyVTkx73Azo,hl7-fhir-rest,Fresh Meadows Medical Care Pllc,,production
4249130f-3606-56e6-af95-c856074ed4a1,,https://fhir-service.medicscloud.com/fhir/da/adsc_ZiA1cbDqHjXjH1Y,hl7-fhir-rest,JEFFREY M. CRYAN,,production
